ID,Authors,Title,Year,Source title,Volume,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Publisher,Language of Original Document,Abbreviated Source Title,Document Type
1,"Singh B.K., Verma K., Panigrahi L., Thoke A.S.",Integrating radiologist feedback with computer aided diagnostic systems for breast cancer risk prediction in ultrasonic images: An experimental investigation in machine learning paradigm,2017,Expert Systems with Applications,90,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027710107&doi=10.1016%2fj.eswa.2017.08.020&partnerID=40&md5=26a4ced0f77e8b0b3eb9b3592611e7c4,"Department of Biomedical Engineering, National Institute of Technology, Raipur, Chhattisgarh, India; Department of Computer Applications, National Institute of Technology, Raipur, Chhattisgarh, India; Department of Electrical Engineering, National Institute of Technology, Raipur, Chhattisgarh, India","With advancements in machine learning algorithms and computer aided diagnostic (CAD) systems, the performance of automated analysis of radiological images has improved substantially in recent times. However, the lack of integration between the radiologist and CAD systems restrains the rate of progress as well as the reach of such advancements in clinical use. This article aims to improve the clinical efficiency of ultrasound based CAD systems for classification of breast lesions by integrating back-propagation artificial neural network (BPANN), support vector machine (SVM) and radiologist feedback. The acquired breast ultrasound images were subjected to wavelet based filtering in order to reduce speckle noise followed by feature extraction, feature selection and classification. Experiments on a database of 178 ultrasound images of breast anomalies (88 benign and 90 malignant) show that the proposed methodology achieves classification accuracy of 98.621% and 98.276%, respectively, when all 457 and 19 most relevant features selected by multi-criteria feature selection method were used for classification. The accuracy achieved is significantly higher than that using conventional classifiers based on BPANN and SVM. Further, it is found that integrating expert opinion in CAD systems improves its overall performance. The quantitative results obtained are discussed in light of some recently reported studies. © 2017 Elsevier Ltd",Breast tumor classification; Machine learning; Neural network; Radiologist opinion; Support vector machine; Ultrasound,Artificial intelligence; Backpropagation; Computer aided analysis; Computer aided diagnosis; Computer aided instruction; Diagnosis; Feature extraction; Learning algorithms; Learning systems; Medical imaging; Neural networks; Support vector machines; Ultrasonic imaging; Ultrasonics; Wavelet analysis; Back propagation artificial neural network (BPANN); Breast tumor classifications; Breast ultrasound images; Computer aided diagnostics; Experimental investigations; Feature selection and classification; Feature selection methods; Radiologist opinion; Classification (of information),Elsevier Ltd,English,Expert Sys Appl,Article
2,"Raja S., Bhatia T., Mishra A., Kashyap S., Verma O.P.",Autonomous pathfinding in simulated 3D environment,2017,ACM International Conference Proceeding Series,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044382436&doi=10.1145%2f3175603.3175621&partnerID=40&md5=8ae8f082d9a50341703cbf0cbdab71e7,"Delhi Technological University, New Delhi, India","This paper presents an approach for navigating an autonomous agent in a simulated room environment with multiple obstacles. It presents a technique for depth map estimation using stereoscopic images - a vital intermediate technique for autonomous navigation and pathfinding. It also proposes a path planner interfaced with the depth map for locally planning a sequence of steps to the desired location. A single RGB camera does not contain sufficient information to estimate depth with satisfactory accuracy. Depth cameras are significantly more expensive than RGB cameras, and hence would not be suited for projects requiring lower budget constraints. Hence a middle ground is required which requires depth calculation from limited available input. Depth estimation is accomplished with a convolutional neural network trained on synthetic randomly generated stereo image data. The path planner comprises a short-term path planner for obstacle avoidance, and a long-term path planner for approaching the destination coordinates. The results show that this approach yields a factor of approximately 1.8 times the steps of human performance on the same task. © 2017 Association for Computing Machinery.",Artificial Intelligence; Autonomous agents; Computer vision; Convolutional Neural Network; Depth map; Neural Network; Path finding; Simulation; Stereo images,Air navigation; Artificial intelligence; Budget control; Cameras; Computer vision; Convolution; Neural networks; Robotics; Robots; Stereo image processing; Stereo vision; Convolutional neural network; Depth Map; Path finding; Simulation; Stereo-image; Autonomous agents,Association for Computing Machinery,English,ACM Int. Conf. Proc. Ser.,Conference Paper
3,"Yuvaraj N., SriPreethaa K.R.",Diabetes prediction in healthcare systems using machine learning algorithms on Hadoop cluster,2017,Cluster Computing,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039869073&doi=10.1007%2fs10586-017-1532-x&partnerID=40&md5=bd3ffcee5b46a0f05d7c057b0fb2236e,"Department of Computer Science and Engineering, KPR Institute of Engineering and Technology, Coimbatore, India","Health care systems are merely designed to meet the needs of increasing population globally. People around the globe are affected with different types of deadliest diseases. Among the different types of commonly existing diseases, diabetes is a major cause of blindness, kidney failure, heart attacks, etc. Health care monitoring systems for different diseases and symptoms are available all around the world. The rapid development in the fields of Information and Communication Technologies made remarkable improvements in health care systems. Various Machine Learning algorithms are proposed which automates the working model of health care systems and enhances the accuracy of disease prediction. Hadoop cluster based distributed computing framework supports in efficient processing and storing of extremely large datasets in cloud environment. This work proposes the novel implementation of machine learning algorithms in hadoop based clusters for diabetes prediction. The results show that the machine learning algorithms can able to produce highly accurate diabetes predictive healthcare systems. Pima Indians Diabetes Database from National Institute of Diabetes and Digestive Diseases is used to evaluate the working of algorithm. © 2017 Springer Science+Business Media, LLC, part of Springer Nature",Cluster computing; Hadoop clusters; Healthcare systems; Machine learning algorithms; Predictive analysis,Artificial intelligence; Cluster computing; Clustering algorithms; Distributed computer systems; Forecasting; Health care; Learning systems; Predictive analytics; Cloud environments; Distributed computing frameworks; Hadoop clusters; Health care monitoring systems; Health-care system; Highly accurate; Information and Communication Technologies; Working models; Learning algorithms,Springer New York LLC,English,Cluster Comput.,Article in Press
4,"Rekha P., Rangan V.P., Ramesh M.V., Nibi K.V.",High yield groundnut agronomy: An IoT based precision farming framework,2017,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings",2017-January,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047739596&doi=10.1109%2fGHTC.2017.8239287&partnerID=40&md5=0bca907b6083cbff31d7155b7125f89c,"Amrita Center for Wireless Networks and Applications (AmritaWNA), Amrita School of Engineering, Amritapuri, Amrita Vishwa Vidyapeetham, Amrita University, India","Agriculture is one of the main needs for human to survive. Agriculture has to tackle many problems like changing climate, water shortage, changing soil quality, etc. Due to the increasing demand for cereals and other crops for daily usage by the consumers there is a need for smarter implementation of irrigation and also develop farming methods that alter the basic eco systems and is less harmful to other creatures. India is one of highest crop producing countries all over the world. At the same time, India is facing the challenge of farmers committing suicide because of crop failure and debt. Most of the land in India is still being used for agriculture purposes. Still there exists several places that uses very primitive methods for irrigation, fertilization etc. This leads to the reduction in the crop yield and eventually less income for the farmers. This paper discusses the design and development of an IoT framework that helps farmers to improvise their methods of farming and also make the best use of their land for a better yield and income. The major goal of this IoT framework is to sense agriculture characteristics and advice farmers to properly grow and treat the crops. The system deploys a group of wireless sensor networks nodes deployed in the field for sensing agricultural parameters and the RF communication of WSN node is used to transmit the measured data to base station. Base station is connected to a decision support system. Based on the sensed parameters and the optimum values, the decision support system will generate an appropriate message for farmers. By using the collected data from the sensors, the proposed system will provide suggestions about the monitoring crop such as irrigation timings, directions for optimum usage of fertilizers etc. in accordance to the farmers' lands. An android application has been designed to deliver the messages to farmers in their regional language. The android app also gives information regarding the weather forecast and precaution to be taken based on the weather forecast. © 2017 IEEE.",Agriculture; Automation; IoT; Precision Farming; Smart Irrigation; Wireless Sensor Networks,Agriculture; Android (operating system); Artificial intelligence; Automation; Base stations; Crops; Decision support systems; Internet of things; Irrigation; Sensor nodes; Wireless sensor networks; Android applications; Changing climate; Design and Development; Iot frameworks; Optimum value; Precision farming; RF communication; Water shortages; Weather forecasting,Institute of Electrical and Electronics Engineers Inc.,English,"GHTC - IEEE Glob. Humanit. Technol. Conf., Proc.",Conference Paper
5,"De P., Dey S.",Security risk assessment in online social networking: A detailed survey,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048968892&doi=10.1109%2fICRCICN.2017.8234523&partnerID=40&md5=bb8b0f897a8fe7790a279231108f6d8c,"Department of Computer Science and Engineering, OmDayal Group of Institutions, Birshibpur, Howrah, 711 316, India","Millions of users harvest their personal information (photo, video, status) on different online social networks (OSNs). Hence, these rich repositories of sensitive information attract the eyes of adversary to launch variety of cyber attacks on OSN. Here we have identified all crucial threats on social network that may lead to severe risks. In this paper, we have formalized possible social network risks into two types depending upon the origin of risk. Risks are presented here along with impact factor and control measures to mitigate the outcome of the security threats. The relationship between risks and basic security properties has been presented in tabular format. Finally we provide three case studies on identity theft. © 2017 IEEE.",Adversary; Online social networks; Risk; Security; Threat,Artificial intelligence; Crime; Risk assessment; Risks; Social networking (online); Adversary; On-line social networks; Online social networkings; Online social networks (OSNs); Security; Security risk assessments; Sensitive informations; Threat; Network security,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
6,"Neogi S., Maitra S., Chakraborty T., Ghosh K.",Change detection of exposed sandbars around Kaziranga national park,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049008278&doi=10.1109%2fICRCICN.2017.8234496&partnerID=40&md5=9a776a3b8740efdbe72c67cbff38b458,"Center for Soft Computing Research, Indian Statistical Institute, Kolkata, India; Indian Statistical Institute, North-East Centre, Tezpur, India; Geological Studies Unit, Indian Statistical Institute, Kolkata, India; Machine Intelligence Unit, Indian Statistical Institute, Kolkata, India","Spectral signature based post classification change detection approach is applied to identify the changes in Brahmaputra river along with sandbars around Kaziranga National Park in Assam, India. Landsat 5 images from 2006 to 2011 are used and the results are compared with the annual rainfall of the region to identify areas that are erosion prone. From the results it is observed that the amount of sandbar in the Brahmaputra River is inversely proportional to the annual rainfall of the region. The preliminary results presented in the paper will further help for a more detailed identification of erosion prone areas around the Kaziranga National Park which is largely affected by flood during monsoon season. © 2017 IEEE.",Change detection; land cover classification; remote sensing,Artificial intelligence; Erosion; Rain; Annual rainfall; Brahmaputra River; Change detection; Land cover classification; Monsoon season; National parks; Post classification; Spectral signature; Remote sensing,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
7,"Ghosh L., Parui S., Rakshit P., Konar A.",EEG analysis for working memory modeling in face recognition task,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049043838&doi=10.1109%2fICRCICN.2017.8234477&partnerID=40&md5=bee3915d4b594ea51d27534ca56efbf0,"Artificial Intelligence Lab, ETCE Department, Jadavpur University, Kolkata, India","The paper proposes a new approach to mode human working memory using EEG-induced fuzzy associativi memory and attempts to recover the encoded memor information from partially supplied instances during memor recall tasks. Experiments are performed to obtain EEG feature from the temporal lobe, representing working memory input an(pre-frontal lobe, representing the working memory outpu during memory encoding process of unknown peoples' face. Thi fuzzy associative memory is built up with these input-outpu features of the working memory, acquired for multiple instances During the recall cycle, we use a notion of fuzzy inversi formulation to recall the input EEG instances from the supplie output instances of the working memory using fuzzy associativ memory, when the subject is asked to remember the original faci from its part, and to our great surprise the model produced inpu instances match with actual brain-generated input instances wit small error. This signifies the importance of the propose(working memory model and inverse formulation in memor retrieval process. Experiments undertaken reveal that the erro metric could successfully be used to diagnose two peopl suffering from Parkinson and three from the early Alzheimer' diseases among a total population of 50 healthy plus 5 brain diseased people. © 2017 IEEE.",bidirectiona associative memory; fuzzy relational technique; max-min inverse differential evolution; short term memory; working memory,Artificial intelligence; Associative processing; Associative storage; Brain; Evolutionary algorithms; Memory architecture; Optimization; Associative memory; Differential Evolution; Relational techniques; Short term memory; Working memory; Face recognition,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
8,"Das P., Das A.K.",Relation recognition among named entities from a crime corpus using a web-based semantic similarity measurement,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048969255&doi=10.1109%2fICRCICN.2017.8234525&partnerID=40&md5=99ab59cd45121c6093a7669bf54b07d8,"Dept. of Computer Science and Technology, Indian Institute of Engineering Science and Technology, Shibpur, Howrah, India","The present work proposes an unsupervised approach for recognising relations between named entities from a large corpora based on crime in Indian states and union territories. Initially, named entities have been identified from the extracted crime corpus and certain pair of entities have been chosen that facilitates the crime analysis. Then the entity pairs with their intermediate context words have been represented as a shallow parse tree for relation instance. From the parse trees, only the head words (in each entity pair) reflecting the main meaning of the phrases has been considered for measuring a semantic similarity using a web search engine that retrieves the page count of those particular words and their conjunctives. The derived page count is used for measuring the Simpson Coefficient between the pairs and based on this similarity score, an agglomerative hierarchical clustering technique has been applied that makes several clusters of entity pairs of same relationship. The resultant clusters also have been characterised with the most frequent head word present in the group. This proposed method shows a simple similarity measure technique for relation extraction from crime data providing better accuracy than other existing methods. © 2017 IEEE.",hierarchical clustering; page count; semantic similarity; Web search engine,Artificial intelligence; Crime; Information retrieval; Natural language processing systems; Search engines; Semantics; Websites; Agglomerative hierarchical clustering; Hier-archical clustering; Page counts; Relation extraction; Semantic similarity; Semantic similarity measurement; Similarity measure; Unsupervised approaches; Semantic Web,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
9,Kumar M.,Y-Trees: An extending non-linear data structure for better organization of large-sized data,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048972816&doi=10.1109%2fICRCICN.2017.8234528&partnerID=40&md5=68d80da8cca0456e47207c7e7c0b3c93,"C.S.E. Department, Calcutta Institute of Engineering and Management, Kolkata, WB, India",Quite often we come across data which is large in size such as the identification numbers of employees working in a multinational firm or climate records of a place over a period of time or the memory addresses of the storage device. These types of relatively large data are often hard to handle and organize. The paper puts forward a new data model aiming to provide efficient organization in storing large-sized data with fast search and traversal mechanisms. To do so it incorporates some of the powerful principles of a 'Binary Tree'. The data structure intends at creating an efficient storage system for large data allowing data members to be searched and (or) appended further by faster and simpler ways. © 2017 IEEE.,child; Data model; degree; level; nodes; origin; parent; path; traversal mechanism,Artificial intelligence; Binary trees; Data structures; Search engines; Virtual storage; child; degree; level; nodes; origin; parent; path; Trees (mathematics),Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
10,"Saha A., Kumar A., Sahu A.K.",FPV drone with GPS used for surveillance in remote areas,2017,"Proceedings - 2017 3rd IEEE International Conference on Research in Computational Intelligence and Communication Networks, ICRCICN 2017",2017-December,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049024405&doi=10.1109%2fICRCICN.2017.8234482&partnerID=40&md5=4c91fe4d1af4e70e27dccc272feae4a9,"Dr. SPM International Institute of Information Technology, Naya Raipur, Chhattisgarh, 493661, India","Paper presents a brief idea about drones, their technology, the process to make that technology energy-efficient and can be used for different purposes. Major aim of our prototype is for surveillance of terrifying notions and hidden activities which can be captured in the camera which gives us an aerial view of objects. Our major aim is to increase the flight time of the drone as much as possible so to get more time for surveillance and to reduce the noise produced by cloaking it. An additional feature which is added to the prototype is transmission of video in FPV goggles. Our aim is making it available at an affordable rate for the private agencies, institutions and governmental bodies for efficient surveillance. There is lot of hidden observations and development for this prototype in future. Quad copters are types of drone which have four wings attached to them. Depending upon the criteria different feature can be added. © 2017 IEEE.",energy efficient drone; FPV drone; GPS; GSM; less noise; surveillance drone,Antennas; Artificial intelligence; Energy efficiency; Global positioning system; Global system for mobile communications; Monitoring; Security systems; Energy efficient; Flight time; less noise; Private agencies; Remote areas; Drones,Institute of Electrical and Electronics Engineers Inc.,English,"Proc. - IEEE Int. Conf. Res. Comput. Intel. Commun. Networks, ICRCICN",Conference Paper
